fishery.id,fishery,region,length,freq
9,LL.ALL.4,4,10,0
9,LL.ALL.4,4,12,0
9,LL.ALL.4,4,14,0
9,LL.ALL.4,4,16,0
9,LL.ALL.4,4,18,0
9,LL.ALL.4,4,20,0
9,LL.ALL.4,4,22,0
9,LL.ALL.4,4,24,0
9,LL.ALL.4,4,26,0.014
9,LL.ALL.4,4,28,0
9,LL.ALL.4,4,30,0.002
9,LL.ALL.4,4,32,0.042
9,LL.ALL.4,4,34,0
9,LL.ALL.4,4,36,0
9,LL.ALL.4,4,38,0.005
9,LL.ALL.4,4,40,0.022
9,LL.ALL.4,4,42,0.074
9,LL.ALL.4,4,44,1.004
9,LL.ALL.4,4,46,1.023
9,LL.ALL.4,4,48,0.223
9,LL.ALL.4,4,50,0.544
9,LL.ALL.4,4,52,0.502
9,LL.ALL.4,4,54,0.48
9,LL.ALL.4,4,56,2.003
9,LL.ALL.4,4,58,1.874
9,LL.ALL.4,4,60,4.588
9,LL.ALL.4,4,62,7.866
9,LL.ALL.4,4,64,8.732
9,LL.ALL.4,4,66,12.736
9,LL.ALL.4,4,68,17.119
9,LL.ALL.4,4,70,18.317
9,LL.ALL.4,4,72,24.392
9,LL.ALL.4,4,74,18.396
9,LL.ALL.4,4,76,26.802
9,LL.ALL.4,4,78,43.576
9,LL.ALL.4,4,80,39.667
9,LL.ALL.4,4,82,40.651
9,LL.ALL.4,4,84,39.803
9,LL.ALL.4,4,86,49.141
9,LL.ALL.4,4,88,69.683
9,LL.ALL.4,4,90,72.567
9,LL.ALL.4,4,92,88.1
9,LL.ALL.4,4,94,75.039
9,LL.ALL.4,4,96,94
9,LL.ALL.4,4,98,124.363
9,LL.ALL.4,4,100,112.539
9,LL.ALL.4,4,102,125.439
9,LL.ALL.4,4,104,119.999
9,LL.ALL.4,4,106,143.091
9,LL.ALL.4,4,108,213.196
9,LL.ALL.4,4,110,229.836
9,LL.ALL.4,4,112,296.488
9,LL.ALL.4,4,114,313.629
9,LL.ALL.4,4,116,312.915
9,LL.ALL.4,4,118,391.739
9,LL.ALL.4,4,120,392.135
9,LL.ALL.4,4,122,401.356
9,LL.ALL.4,4,124,359.622
9,LL.ALL.4,4,126,304.809
9,LL.ALL.4,4,128,334.15
9,LL.ALL.4,4,130,242.785
9,LL.ALL.4,4,132,198.733
9,LL.ALL.4,4,134,150.875
9,LL.ALL.4,4,136,124.893
9,LL.ALL.4,4,138,118.645
9,LL.ALL.4,4,140,93.376
9,LL.ALL.4,4,142,58.997
9,LL.ALL.4,4,144,38.709
9,LL.ALL.4,4,146,24.434
9,LL.ALL.4,4,148,26.635
9,LL.ALL.4,4,150,10.717
9,LL.ALL.4,4,152,5.329
9,LL.ALL.4,4,154,4.391
9,LL.ALL.4,4,156,4.36
9,LL.ALL.4,4,158,2.145
9,LL.ALL.4,4,160,1.18
9,LL.ALL.4,4,162,2.781
9,LL.ALL.4,4,164,0.154
9,LL.ALL.4,4,166,0.409
9,LL.ALL.4,4,168,0.084
9,LL.ALL.4,4,170,0.211
9,LL.ALL.4,4,172,0.005
9,LL.ALL.4,4,174,0
9,LL.ALL.4,4,176,0.033
9,LL.ALL.4,4,178,0.027
9,LL.ALL.4,4,180,0.288
9,LL.ALL.4,4,182,0
9,LL.ALL.4,4,184,0
9,LL.ALL.4,4,186,0
9,LL.ALL.4,4,188,0
9,LL.ALL.4,4,190,0
9,LL.ALL.4,4,192,0
9,LL.ALL.4,4,194,0
9,LL.ALL.4,4,196,0
9,LL.ALL.4,4,198,0
13,PS.ASSOC.3,3,10,0
13,PS.ASSOC.3,3,12,0
13,PS.ASSOC.3,3,14,0
13,PS.ASSOC.3,3,16,0
13,PS.ASSOC.3,3,18,0
13,PS.ASSOC.3,3,20,176.379127229369
13,PS.ASSOC.3,3,22,289.799556570636
13,PS.ASSOC.3,3,24,703.484342239219
13,PS.ASSOC.3,3,26,2737.60514294513
13,PS.ASSOC.3,3,28,2973.43922694822
13,PS.ASSOC.3,3,30,4387.83633636967
13,PS.ASSOC.3,3,32,4422.09703402244
13,PS.ASSOC.3,3,34,4901.93977371534
13,PS.ASSOC.3,3,36,6001.03995608936
13,PS.ASSOC.3,3,38,7766.93054686874
13,PS.ASSOC.3,3,40,9158.17376268119
13,PS.ASSOC.3,3,42,11269.293985064
13,PS.ASSOC.3,3,44,14230.0049430939
13,PS.ASSOC.3,3,46,16118.913516877
13,PS.ASSOC.3,3,48,17692.6808089735
13,PS.ASSOC.3,3,50,15416.9746970119
13,PS.ASSOC.3,3,52,13590.0554481846
